,Date,Open,High,Low,Close,Adj Close,Volume
0,"Aug 27, 2024","62,856.59","63,196.90","62,621.34","62,621.34","62,621.34","27,863,764,992"
1,"Aug 26, 2024","64,342.23","64,489.71","62,849.56","62,880.66","62,880.66","27,682,040,631"
2,"Aug 25, 2024","64,176.37","64,996.42","63,833.52","64,333.54","64,333.54","18,827,683,555"
3,"Aug 24, 2024","64,103.87","64,513.79","63,619.92","64,178.99","64,178.99","21,430,585,163"
4,"Aug 23, 2024","60,380.95","64,947.06","60,372.05","64,094.36","64,094.36","42,530,509,233"
5,"Aug 22, 2024","61,168.32","61,408.11","59,815.25","60,381.91","60,381.91","27,625,734,377"
6,"Aug 21, 2024","59,014.99","61,834.35","58,823.45","61,175.19","61,175.19","32,731,154,072"
7,"Aug 20, 2024","59,493.45","61,396.33","58,610.88","59,012.79","59,012.79","31,613,400,008"
8,"Aug 19, 2024","58,480.71","59,612.66","57,864.71","59,493.45","59,493.45","25,911,207,712"
9,"Aug 18, 2024","59,468.13","60,262.72","58,445.40","58,483.96","58,483.96","17,740,625,837"
10,"Aug 17, 2024","58,893.53","59,694.67","58,814.83","59,478.97","59,478.97","13,589,684,021"
11,"Aug 16, 2024","57,560.27","59,847.36","57,110.02","58,894.11","58,894.11","29,350,938,673"
12,"Aug 15, 2024","58,733.26","59,838.65","56,161.59","57,560.10","57,560.10","35,682,112,440"
13,"Aug 14, 2024","60,611.05","61,687.76","58,472.88","58,737.27","58,737.27","29,961,696,180"
14,"Aug 13, 2024","59,356.21","61,572.40","58,506.25","60,609.57","60,609.57","30,327,698,167"
15,"Aug 12, 2024","58,719.39","60,680.33","57,688.90","59,354.52","59,354.52","37,078,637,820"
16,"Aug 11, 2024","60,944.89","61,778.66","58,348.82","58,719.48","58,719.48","22,759,754,812"
17,"Aug 10, 2024","60,881.23","61,464.51","60,287.57","60,945.81","60,945.81","15,745,822,278"
18,"Aug 9, 2024","61,728.21","61,751.86","59,587.86","60,880.11","60,880.11","33,425,553,115"
19,"Aug 8, 2024","55,030.03","62,673.77","54,766.73","61,710.14","61,710.14","45,298,472,567"
20,"Aug 7, 2024","56,040.63","57,726.88","54,620.51","55,027.46","55,027.46","41,637,562,185"
21,"Aug 6, 2024","53,991.35","57,059.92","53,973.27","56,034.32","56,034.32","49,300,484,106"
22,"Aug 5, 2024","58,110.30","58,268.83","49,121.24","53,991.46","53,991.46","108,991,085,584"
23,"Aug 4, 2024","60,676.09","61,062.99","57,210.80","58,116.98","58,116.98","31,758,917,219"
24,"Aug 3, 2024","61,414.81","62,148.37","59,836.53","60,680.09","60,680.09","31,753,030,589"
25,"Aug 2, 2024","65,353.50","65,523.22","61,184.89","61,415.07","61,415.07","43,060,875,727"
26,"Aug 1, 2024","64,625.84","65,593.24","62,248.94","65,357.50","65,357.50","40,975,554,494"
27,"Jul 31, 2024","66,201.27","66,810.21","64,532.05","64,619.25","64,619.25","31,292,785,994"
28,"Jul 30, 2024","66,819.05","66,987.67","65,323.19","66,201.02","66,201.02","31,380,492,109"
29,"Jul 29, 2024","68,259.05","69,987.54","66,532.59","66,819.91","66,819.91","40,780,682,628"
30,"Jul 28, 2024","67,808.66","68,301.85","67,085.83","68,255.87","68,255.87","18,043,166,945"
31,"Jul 27, 2024","67,911.81","69,398.51","66,705.22","67,813.34","67,813.34","34,691,905,492"
32,"Jul 26, 2024","65,771.81","68,207.60","65,743.77","67,912.06","67,912.06","30,488,630,457"
33,"Jul 25, 2024","65,375.88","66,112.42","63,473.47","65,777.23","65,777.23","38,315,761,670"
34,"Jul 24, 2024","65,927.86","67,113.98","65,147.00","65,372.13","65,372.13","27,470,942,309"
35,"Jul 23, 2024","67,584.80","67,779.02","65,484.46","65,927.67","65,927.67","35,605,668,666"
36,"Jul 22, 2024","68,152.98","68,480.06","66,611.30","67,585.25","67,585.25","42,649,109,453"
37,"Jul 21, 2024","67,164.91","68,372.91","65,842.30","68,154.52","68,154.52","26,652,190,004"
38,"Jul 20, 2024","66,709.92","67,610.73","66,299.62","67,163.65","67,163.65","19,029,581,250"
39,"Jul 19, 2024","63,972.32","67,442.64","63,329.34","66,710.16","66,710.16","37,003,855,410"
40,"Jul 18, 2024","64,104.74","65,104.66","63,246.16","63,974.07","63,974.07","27,239,305,337"
41,"Jul 17, 2024","65,091.83","66,066.73","63,896.09","64,118.79","64,118.79","32,525,071,311"
42,"Jul 16, 2024","64,784.42","65,354.34","62,487.97","65,097.15","65,097.15","41,617,346,768"
43,"Jul 15, 2024","60,815.46","64,870.15","60,704.93","64,870.15","64,870.15","38,094,526,099"
44,"Jul 14, 2024","59,225.25","61,329.53","59,225.25","60,787.79","60,787.79","22,223,416,061"
45,"Jul 13, 2024","57,908.74","59,787.08","57,796.44","59,231.95","59,231.95","17,080,061,806"
46,"Jul 12, 2024","57,341.20","58,532.55","56,590.18","57,899.46","57,899.46","25,604,805,221"
47,"Jul 11, 2024","57,729.89","59,299.43","57,120.38","57,344.91","57,344.91","28,707,803,842"
48,"Jul 10, 2024","58,033.88","59,359.43","57,178.41","57,742.50","57,742.50","26,175,260,526"
49,"Jul 9, 2024","56,704.60","58,239.20","56,316.88","58,009.23","58,009.23","27,849,512,607"
50,"Jul 8, 2024","55,849.57","58,131.34","54,321.02","56,705.10","56,705.10","39,766,159,899"
51,"Jul 7, 2024","58,239.43","58,371.12","55,793.32","55,849.11","55,849.11","20,553,359,505"
52,"Jul 6, 2024","56,659.07","58,472.55","56,038.96","58,303.54","58,303.54","20,610,320,577"
53,"Jul 5, 2024","57,022.81","57,497.15","53,717.38","56,662.38","56,662.38","55,417,544,033"
54,"Jul 4, 2024","60,147.14","60,399.68","56,777.80","56,977.70","56,977.70","41,149,609,230"
55,"Jul 3, 2024","62,034.33","62,187.70","59,419.39","60,173.92","60,173.92","29,756,701,685"
56,"Jul 2, 2024","62,844.41","63,203.36","61,752.75","62,029.02","62,029.02","20,151,616,992"
57,"Jul 1, 2024","62,673.61","63,777.23","62,495.51","62,851.98","62,851.98","25,468,379,421"
