Open,High,Low,Close,Volume,Change
247.35,255.07,243.89,253.72,33582700,2.37
254.08,309.38,254.08,273.47,106794000,7.78
273.17,275.48,250.65,263.48,44399000,-3.65
263.35,266.54,227.05,233.91,44352200,-11.22
233.35,238.71,220.71,233.51,32213400,-0.17
232.77,242.85,225.84,226.43,26605200,-3.03
226.44,233.5,216.31,217.46,23348200,-3.96
216.87,231.57,212.01,226.97,29128500,4.37
226.49,242.18,222.66,238.23,30612100,4.96
237.45,245.96,224.48,227.27,40783700,-4.6
227.51,230.06,221.11,226.85,26594300,-0.18
227.66,239.4,214.73,217.11,22516400,-4.29
216.92,230.51,216.23,222.27,24435300,2.38
222.63,230.3,222.61,227.75,21604200,2.47
227.69,229.44,221.08,223.41,17145200,-1.91
223.39,223.98,217.02,220.11,27791300,-1.48
220.28,221.81,215.33,219.84,21115100,-0.12
219.73,223.41,218.07,219.18,17201900,-0.3
219.21,222.2,217.61,221.76,15206200,1.18
221.97,240.26,221.26,235.43,42744400,6.16
235.53,259.81,235.53,257.32,49732500,9.3
257.51,265.61,227.68,234.82,56552400,-8.74
234.82,239.52,229.02,233.84,28153700,-0.42
233.42,245.77,232.31,243.61,27363100,4.18
243.78,244.25,232.34,236.33,25200800,-2.99
236.41,242.67,235.59,240.28,18270500,1.67
240.25,247.1,239.3,243.78,23876700,1.46
243.75,255.32,243.18,244.53,12284200,0.31
244.54,246.39,233.85,235.98,19527000,-3.5
235.99,240.11,232.42,238.89,16400000,1.23
239.0,239.9,236.4,238.74,14200400,-0.06
238.89,239.34,235.53,237.47,11496200,-0.53
237.34,237.71,234.26,236.43,13619400,-0.44
236.44,256.65,236.44,253.83,44013900,7.36
253.52,254.69,249.48,254.26,13949300,0.17
254.28,261.66,245.93,260.2,25213700,2.34
260.36,276.3,258.31,275.67,40465700,5.95
275.05,285.8,268.16,281.7,50461300,2.19
281.99,284.23,268.13,273.09,41383000,-3.06
272.74,281.67,264.77,276.18,41302400,1.13
275.6,277.61,270.02,272.72,28918900,-1.25
272.29,277.85,270.13,276.26,17825900,1.3
276.43,277.86,272.57,274.35,22067900,-0.69
274.81,292.7,273.89,289.61,59178200,5.56
289.86,300.04,289.74,291.76,67770800,0.74
291.52,297.39,290.51,296.38,33963900,1.58
296.13,297.09,292.41,294.35,32585200,-0.68
294.12,294.5,285.34,285.34,31421500,-3.06
284.44,286.34,280.98,281.89,22612300,-1.21
281.42,286.53,281.0,286.39,11970100,1.6
285.68,294.11,285.68,290.59,21516100,1.47
290.6,292.36,284.37,285.51,21497200,-1.75
285.07,285.34,249.87,256.3,57008000,-10.23
255.88,264.24,248.64,260.93,52732000,1.81
260.96,264.85,259.16,261.75,18456700,0.31
261.64,262.2,255.65,260.02,17130100,-0.66
259.92,269.75,259.59,267.96,18438100,3.05
267.89,277.3,261.74,266.74,22811900,-0.46
266.58,267.0,244.15,245.6,40073700,-7.93
247.47,249.19,236.51,246.2,35866900,0.24
246.28,254.35,244.9,248.53,25730000,0.95
248.57,256.81,245.21,247.03,17274900,-0.6
246.98,254.21,246.98,252.8,16040900,2.34
252.74,253.14,240.85,242.71,21699400,-3.99
242.88,249.24,239.21,247.53,23009600,1.99
247.45,248.73,242.74,244.22,22672000,-1.34
244.22,247.54,241.16,247.27,22877200,1.25
247.09,254.46,245.42,253.01,26272600,2.32
253.07,256.04,251.88,254.32,23146600,0.52
254.29,255.26,251.1,253.7,12493500,-0.24
253.76,260.67,251.94,260.6,19649200,2.72
260.72,261.8,254.57,255.49,20034200,-1.96
255.27,255.8,252.21,253.18,18467400,-0.9
253.06,253.85,244.21,245.02,30086400,-3.22
244.75,246.12,239.4,243.68,21643500,-0.55
243.69,243.69,232.77,236.07,28882000,-3.12
236.02,239.54,234.18,236.55,16365200,0.2
236.54,237.73,233.49,236.15,12387900,-0.17
